plants,R,G,B,FW (g),stem length (cm)
Barley,90,0,10,0,0
Barley,66.6667,16.6667,16.6667,0,0
Artichoke(cardoon),100,0,0,0,22
Artichoke(GreenGlobe),100,0,0,0,19.5
Artichoke(violetto),100,0,0,0,20
Artichoke(cardoon),0,0,100,0,12.5
Artichoke(GreenGlobe),0,0,100,0,11
Artichoke(violetto),0,0,100,0,10
Chinese Kale,88.8889,0,11.1111,44.9,25.5
Chinese Kale,66.6667,0,33.3333,37,23.8
Tomayoes,75,0,25,0,32
Tomayoes,75,0,25,0,28
Begonia,85,0,15,2.2,3.78
Geranium,85,0,15,1.3,5.4
Snapdragon,85,0,15,1,6.9
petunia,85,0,15,0.8,0
Begonia,40,40,20,2.54,3.85
Geranium,40,40,20,1.45,5.65
Snapdragon,40,40,20,1.1,7.2
petunia,40,40,20,0.9,0
Sida tomato,63,0,37,0,106.5
Lettuce ,0,0,100,3.4,0
Lettuce ,80,0,20,32.7,0
Lettuce ,88.8889,0,11.1111,73.78,0
Lettuce ,92.3077,0,7.6923,64.14,0
Lettuce ,100,0,0,66.08,0
Lettuce ,0,0,100,13.62,0
Lettuce ,80,0,20,82.78,0
Lettuce ,88.8889,0,11.1111,118.04,0
Lettuce ,92.3077,0,7.6923,103.86,0
Lettuce ,100,0,0,66.33,0
Lettuce,83,0,17,70.85,19.52
Lettuce,91,0,9,78.45,19.33
Lettuce,95,0,5,72.52,18.17
Lettuce,100,0,0,64.82,24.33
Spinach,83,0,17,63.73,31.35
Spinach,91,0,9,68.73,35.6
Spinach,95,0,5,65.25,29.83
Spinach,100,0,0,47.7,35.17
Kale,83,0,17,109.78,46.05
Kale,91,0,9,185.6,46.43
Kale,95,0,5,189.95,47.38
Kale,100,0,,85.45,51.63
Basil,83,0,17,41.2,45.68
Basil,91,0,9,44.23,47.33
Basil,95,0,5,42.92,48.05
Basil,100,0,,32.68,51.12
Sweet peper,83,0,17,650.88,467.48
Sweet peper,91,0,9,683.89,492.27
Sweet peper,95,0,5,783.71,568.33
Sweet peper,100,0,0,620.82,459.42
Lettuce ,16.6667,0,83.3333,9.4,9.7
Lettuce ,25,0,75,10.6,10.1
Lettuce ,50,0,50,10.3,11
Lettuce ,75,0,25,10.7,11.9
Lettuce ,83.3333,0,16.6667,10.9,12.7
Lettuce ,66.6667,0,33.3333,9.1,0
Lettuce ,75,0,25,10,0
Lettuce ,80,0,20,9.2,0
Lettuce ,88.8889,0,11.1111,12.4,0
Red Oakleaf,100,0,0,21.51,0
Red Oakleaf,80,0,20,20.14,0
Red Oakleaf,50,0,50,18.65,0
Red Oakleaf,20,0,80,18.55,0
Red Oakleaf,0,0,100,22.33,0
cucumber,90,0,10,0,7.6
lettuce,90,0,10,36.93,0
purple basil,66.6667,16.6667,16.6667,24.63,18.78
purple basil,50,25,25,12.68,15
purple basil,33.3333,3.3333,33.3333,6.09,11.85
green basil,66.6667,16.6667,16.6667,52.75,26.25
green basil,50,25,25,42.2,25.75
green basil,33.3333,33.3333,33.3333,31.23,24.81
lettuce,0,0,100,0,0
lettuce,100,0,0,0,0
lettuce,70,0,0,0,0
,,,,,
,,,,,
potato,100,0,,0.2965,11.2
potato,0,0,100,0.31491,3.03
potato,65,0,35,0.414,8.77
potato,45,20,35,0.4302,7.27
potato leaf,50,0,50,0,25.73
potato leaf,0,0,100,0,28.93
potato leaf,100,0,0,0,25.44
morning glory,100,0,0,0,29.75
morning glory,,0,100,0,19.05
morning glory,50,0,50,0,18.79
morning glory,66.6666,0,33.3333,0,20.53
lettuce,50,0,50,136.3,0
lettuce,33.3333,0,33.3333,164.1,0
tomato,66%,0,33%,26.55,76.66
tomato,66%,33%,0,29.13,114.33
tomato,66%,0,33%,33.29,69.67
tomato,66%,33%,0,27.98,119
Dropwort,100,0,0%,0,0
Dropwort,0%,0,100,0,0
Dropwort,0%,100,0%,0,0
Dropwort,90,0,10,0,0
Dropwort,80,0,20,0,0
Dropwort,70,0,30,0,0
Dropwort,60,0,40,0,0
Dropwort,90,10,0,0,0
Dropwort,80,10,10,0,0
Dropwort,70,10,20,0,0
Dropwort,60,10,30,0,0
Dropwort,100,0,0,0,0
Oncidium,100,0,0%,0,3.925
Oncidium,90,0,10,0,3.375
Oncidium,80,0,20,0,3.5
Oncidium,70,0,30,0,3.8
Oncidium,0%,0,100,0,2.675
Oncidium,80,10,10,0,3.35
"Brassica
chinensis",40,30,30,18.54,0
green lettuce ,27,46.9,26.1,0,0
green lettuce ,20.4,33.9,45.7,0,0
green lettuce ,17.7,0.6,81.7,0,0
green lettuce ,15.7,0.5,80.4,0,0
green lettuce ,14.8,5,80.2,0,0
green lettuce ,13.9,0.4,85.7,0,0
purple lettuce,27,46.9,26.1,0,0
purple lettuce,20.4,33.9,45.7,0,0
purple lettuce,17.7,0.6,81.7,0,0
purple lettuce,15.7,0.5,80.4,0,0
purple lettuce,14.8,5,80.2,0,0
purple lettuce,13.9,0.4,85.7,0,0
tomato,100,0,0,0,12.4
tomato,0,0,100,0,10.8
tomato,66.6667,0,33.3333,0,12
tomato,33.3333,0,66.6667,0,11.6
pepper,100,0,0,0,8.92
pepper,0,0,100,0,7.48
pepper,66.6667,0,33.3333,0,8.72
pepper,33.3333,0,66.6667,0,7
lettuce,0,0,100,4.69,0
lettuce,100,0,0,0.2487,0
Myrtus communis,0,0,100,0.2756,0
Myrtus communis,70,0,30,0.2385,0
Myrtus communis,100,0,0,0.2217,0
 Lactuca sativa,0,0,100,0,26.86
 Lactuca sativa,50,0,50,0,20.47
 Lactuca sativa,33.33,0,66.66,0,19.28
 Lactuca sativa,66.66,0,33.33,0,20.72
pepper,24.3,45.3,30.1,1.8,11
pepper,35.6,42.9,21.1,3,14.7
pepper,76.9,1,22,2,12
pepper,39.2,39.1,20.5,2.1,11
Brassica napus,66.66,0,33.33,0,10.23
Brassica napus,66.66,0,33.33,0,9.7
Brassica napus,66.66,0,33.33,0,8.13
Green Basil,76,0,24,0,22
Green Basil,44,32,24,0,25
Green Basil,74,10,16,0,22
Green Basil,42,13,45,0,23
Purple Basil,76,,24,0,20
Purple Basil,44,32,24,0,20
Purple Basil,74,10,16,0,29
Purple Basil,42,13,45,0,20.5
vanilla,100,0,0,1.4312,4.4
vanilla,0,0,100,1.5312,3.2
vanilla,50,0,50,2.7642,4.1
mini chal tomato,30,0,70,3.74,12
mini chal tomato,20,20,60,3.23,13
mini chal tomato,20,40,40,3.45,15
Grape,100,0,0,0,4.494
Grape,0,0,100,0,3.058
Basil,93,0,7,0,19
Basil,70,0,30,0,19.5
Dill,93,0,7,0,24.5
Dill,70,0,30,0,24.5
Parsley,93,0,7,0,20.5
Parsley,70,0,30,0,19.5
lettuce,100,0,0,0,12.5
lettuce,0,0,100,0,12.3
lettuce,50,0,50,0,12
Lettice green oak.,75,0,25,0,7.5
lettuce,100,0,0,83.03,26.413
lettuce,0,0,100,61.71,21.063
lettuce,50,0,50,74.66,22.765
strawberry,100,0,0,0,0
strawberry,0,0,100,0,0
strawberry,50,0,50,0,0
Chinese kale,0,0,100,41.54,17.4
Chinese kale,0,0,100,58.74,25.6
Chinese kale,0,0,100,56.58,24.27
Chinese kale,0,0,100,43.33,19.13
Chinese Cabbage,100,0,0,5.93,0
Chinese Cabbage,0,0,100,6.67,0
Chinese Cabbage,50,0,50,5.28,0
